"","Team","T.YD","Pass.YD","Rush.YD","T.FD","Rush.FD","Pass.FD","Pen.FD","Pass.ATT","Pass.COMP","Pass.PCT","Pass.YPA","Pass.Lng","Pass.TD","Pass.INT","PASS.SACK","Rush.ATT","Rush.YPA","Rush.Lng","Rush.TD","Rush.FUM","Rec","Rec.YD","Rec.AVG","Rec.Lng","Rec.TD","Rec.FUM","pct","Season"
"2","Oakland",6237,4475,1762,"366","113","226","27",619,418,67.5,7.6,75,26,10,36,414,4.3,36,21,4,418,4689,11.2,75,26,4,".688",2002
"3","Minnesota",6192,3685,2507,"350","139","191","20",558,337,60.4,7.1,61,19,23,49,473,5.3,85,26,13,337,3951,11.7,61,19,5,".375",2002
"4","Denver",6090,3824,2266,"357","125","199","33",554,359,64.8,7.5,82,21,20,46,457,5,59,21,11,359,4139,11.5,82,21,1,".563",2002
"5","Kansas City",6000,3622,2378,"343","140","179","24",477,292,61.2,7.9,99,27,13,26,462,5.1,56,26,3,292,3763,12.9,99,27,0,".500",2002
"6","Pittsburgh",5952,3832,2120,"343","119","200","24",551,350,63.5,7.3,72,26,22,34,512,4.1,42,15,8,350,4036,11.5,72,26,6,".656",2002
"7","NY Giants",5826,3951,1875,"323","95","195","33",549,338,61.6,7.5,82,19,14,24,486,3.9,70,14,14,338,4103,12.1,82,19,9,".625",2002
"8","Seattle",5818,4078,1740,"347","104","208","35",587,361,61.5,7.3,83,19,16,33,430,4,58,17,6,361,4257,11.8,83,19,9,".438",2002
"9","San Francisco",5701,3457,2244,"342","141","182","19",571,354,62,6.3,76,23,10,22,489,4.6,40,16,6,354,3576,10.1,76,23,3,".625",2002
"10","Indianapolis",5616,4055,1561,"324","93","213","18",591,392,66.3,7.1,69,27,19,23,434,3.6,49,12,5,392,4200,10.7,69,27,10,".625",2002
"11","Philadelphia",5604,3384,2220,"311","124","164","23",548,318,58,6.6,59,27,11,36,489,4.5,57,15,11,318,3606,11.3,59,27,7,".750",2002
"12","Buffalo",5591,3995,1596,"355","90","218","47",612,377,61.6,7.1,73,24,15,54,388,4.1,34,17,14,377,4364,11.6,73,24,4,".500",2002
"13","Green Bay",5560,3627,1933,"318","94","197","27",580,361,62.2,6.6,85,29,16,27,451,4.3,43,12,9,361,3823,10.6,85,29,5,".750",2002
"14","Los Angeles",5559,4154,1405,"315","76","219","20",635,408,64.3,7.1,58,24,27,46,343,4.1,44,11,7,408,4480,11,58,24,6,".438",2002
"15","Atlanta",5535,3167,2368,"316","123","163","30",479,268,56,7.1,74,18,12,36,523,4.5,59,23,10,268,3384,12.6,74,18,5,".594",2002
"16","Miami",5392,2890,2502,"318","139","155","24",455,271,59.6,6.7,77,18,15,25,530,4.7,63,24,13,271,3069,11.3,77,18,6,".563",2002
"17","San Diego",5325,3188,2137,"313","117","166","30",538,324,60.2,6.3,52,17,16,24,466,4.6,76,19,3,324,3368,10.4,52,17,6,".500",2002
"18","Tennessee",5272,3320,1952,"312","112","182","18",500,306,61.2,6.9,55,22,15,21,511,3.8,39,16,4,306,3441,11.2,55,22,5,".688",2002
"19","Cincinnati",5206,3476,1730,"315","105","186","24",591,350,59.2,6.3,72,17,22,37,426,4.1,67,13,7,350,3732,10.7,72,17,1,".125",2002
"20","New Orleans",5205,3441,1764,"291","91","169","31",538,291,54.1,6.8,64,27,15,37,426,4.1,62,16,8,291,3685,12.7,64,27,5,".563",2002
"21","Washington",5143,3254,1889,"303","107","165","31",559,300,53.7,6.3,62,24,20,38,442,4.3,33,10,9,300,3523,11.7,62,24,7,".438",2002
"22","New England",5085,3577,1508,"304","99","184","21",605,374,61.8,6.2,49,28,14,31,395,3.8,45,9,8,374,3767,10.1,49,28,5,".563",2002
"23","NY Jets",5036,3418,1618,"300","86","190","24",485,329,67.8,7.5,47,25,10,32,400,4,61,12,5,329,3619,11,47,25,4,".563",2002
"24","Cleveland",5027,3412,1615,"279","77","171","31",552,338,61.2,6.6,78,27,22,35,406,4,64,10,5,338,3665,10.8,78,27,3,".563",2002
"25","Tampa Bay",5002,3445,1557,"287","90","172","25",567,348,61.4,6.5,76,23,10,41,414,3.8,59,6,6,348,3665,10.5,76,23,5,".750",2002
"26","Jacksonville",4851,2762,2089,"275","105","156","14",462,268,58,6.5,79,18,9,42,455,4.6,63,19,5,268,3019,11.3,79,18,1,".375",2002
"27","Baltimore",4639,2847,1792,"261","90","145","26",479,262,54.7,6.5,77,20,14,41,427,4.2,75,9,13,262,3118,11.9,77,20,2,".438",2002
